brand,category,date,discount,id_product,name,perc_discount,price,price_discount
Sfera,"Moda hombre,Ropa,Pantalones,Chinos",2022-04-11,0.0,001056110111699,Chino de hombre slim azul marino,0.0,19.99,19.99
Sfera,"Moda hombre,Ropa,Pantalones,Chinos",2022-04-11,0.0,001056110111798,Chino de hombre regular azul marino,0.0,19.99,19.99
Sfera,"Moda hombre,Ropa,Vaqueros",2022-04-11,0.0,001056110007459,Vaquero de hombre skinny azul,0.0,19.99,19.99
Calvin Klein Jeans,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001088240001904,Camiseta de hombre regular en blanco,0.0,39.9,39.9
Calvin Klein Jeans,"Moda hombre,Ropa,Vaqueros",2022-04-11,0.0,001088211101477,Vaquero de hombre skinny azul,0.0,99.9,99.9
Calvin Klein Jeans,"Moda hombre,Ropa,Vaqueros",2022-04-11,0.0,001088211101469,Vaquero de hombre skinny en azul,0.0,99.9,99.9
Calvin Klein Jeans,"Moda hombre,Ropa,Vaqueros",2022-04-11,0.0,001088211101444,Vaquero de hombre slim en gris,0.0,99.9,99.9
Calvin Klein Jeans,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001088240001979,Camiseta de hombre slim en azul,0.0,39.9,39.9
Calvin Klein Jeans,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001088240001938,Camiseta de hombre regular en negro,0.0,39.9,39.9
Calvin Klein Jeans,"Moda hombre,Ropa,Camisas",2022-04-11,0.0,001088221100196,Camisa de hombre regular blanca,0.0,89.9,89.9
Calvin Klein Jeans,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001088240002092,Camiseta de hombre de manga corta y cuello redondo,0.0,39.9,39.9
Calvin Klein Jeans,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001088240002209,Camiseta de hombre de manga corta y ajuste slim,0.0,39.9,39.9
Calvin Klein Jeans,"Moda hombre,Ropa,Punto y Jerséis",2022-04-11,0.0,001088260000463,Jersey de hombre con cuello redondo y ajuste holgado,0.0,89.9,89.9
Calvin Klein Jeans,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001088240001995,Camiseta de hombre de manga corta y cuello redondo,0.0,29.9,29.9
Lacoste,"Moda hombre,Ropa,Polos",2022-04-11,0.0,001083611465374,Polo de hombre classic de piqué azul de manga corta,0.0,120.0,120.0
Lacoste,"Moda hombre,Ropa,Polos",2022-04-11,0.0,001083680104078,Polo de hombre classic l.12.12  jaspeado cuello acanalado,0.0,100.0,100.0
Lacoste,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001083660138575,Camiseta de hombre manga larga en algodón Pima,0.0,70.0,70.0
Lacoste,"Moda hombre,Ropa,Polos",2022-04-11,0.0,001083660128527,Polo parís de hombre regular piqué de algodón elástico monocolor,0.0,120.0,120.0
Lacoste,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001083660118858,Camisetas de hombre punto liso de algodón  redondo,0.0,60.0,60.0
Lacoste,"Moda hombre,Ropa,Pantalones,Pantalones joggers",2022-04-11,0.0,001083660134400,Pantalón de chándal de hombre slim sport tenis,0.0,90.0,90.0
Lacoste,"Moda hombre,Ropa,Camisas",2022-04-11,0.0,001083610849305,Camisa de hombre regular de cuadros vichy,0.0,100.0,100.0
Lacoste,"Moda hombre,Ropa,Polos",2022-04-11,0.0,001083611458189,Polo de hombre regular negro de manga larga,0.0,130.0,130.0
Lacoste,"Moda hombre,Ropa,Polos",2022-04-11,0.0,001083611463825,Polo de manga corta de hombre slim en petit piqué,0.0,100.0,100.0
Lacoste,"Moda hombre,Ropa,Polos",2022-04-11,0.0,001083611449816,Polo de hombre slim tapeta 2 botones,0.0,100.0,100.0
Lacoste,"Moda hombre,Ropa,Polos",2022-04-11,0.0,001083611465366,Polo de hombre classic de piqué de algodón ecológico blanco de manga corta,0.0,120.0,120.0
Lacoste,"Moda hombre,Ropa,Sudaderas y Chándals,Sudaderas sin capucha",2022-04-11,0.0,001083611624871,Sudadera classic fit de hombre con el cuello redondo,0.0,100.0,100.0
Sfera,"Moda hombre,Ropa,Polos",2022-04-11,0.0,001056131212559,Polo negro de hombre de manga corta,0.0,12.99,12.99
Sfera,"Moda hombre,Ropa,Vaqueros",2022-04-11,0.0,001056110007509,Vaquero de hombre slim gris,0.0,19.99,19.99
Sfera,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001056131624936,Camiseta de hombre verde de manga corta,0.0,4.99,4.99
Sfera,"Moda hombre,Ropa,Camisas",2022-04-11,0.0,001056120333184,Camisa de hombre de cuadros azul marino,0.0,17.99,17.99
Sfera,"Moda hombre,Ropa,Punto y Jerséis",2022-04-11,0.0,001056130209150,Jersey de hombre beige con cuello caja,0.0,17.99,17.99
Calvin Klein Jeans,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001088240002001,Camiseta de hombre de manga corta y cuello redondo,0.0,29.9,29.9
Calvin Klein Jeans,"Moda hombre,Ropa,Polos",2022-04-11,0.0,001088240300355,Polo piqué de hombre slim negro,0.0,59.9,59.9
Calvin Klein Jeans,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001088240001888,Camiseta de hombre regular en azul,0.0,39.9,39.9
Calvin Klein Jeans,"Moda hombre,Ropa,Sudaderas y Chándals,Sudaderas con capucha",2022-04-11,0.0,001088260200550,Sudadera de hombre relaxed negra,0.0,99.9,99.9
Calvin Klein Jeans,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001088240001953,Camiseta de hombre regular en negro,0.0,49.9,49.9
Calvin Klein Jeans,"Moda hombre,Ropa,Cazadoras",2022-04-11,0.0,001088250000515,Cazadora de hombre de poliéster con acabado impermeable,0.0,139.9,139.9
Calvin Klein Jeans,"Moda hombre,Ropa,Pantalones,Pantalones joggers",2022-04-11,0.0,001088210500117,Pantalón deportivo largo de hombre negro,0.0,89.9,89.9
Calvin Klein Jeans,"Moda hombre,Ropa,Pantalones cortos y Bermudas",2022-04-11,0.0,001088210300419,Short vaquero de hombre con letra omega bordada y ajuste slim,0.0,69.9,69.9
Calvin Klein Jeans,"Moda hombre,Ropa,Vaqueros",2022-04-11,0.0,001088211101576,Vaquero de hombre de tiro medio y con pierna recta,0.0,99.9,99.9
Calvin Klein Jeans,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001088240002191,Camiseta de hombre de manga corta y ajuste slim,0.0,39.9,39.9
Calvin Klein Jeans,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001088240002027,Camiseta de hombre de manga corta y cuello redondo,0.0,29.9,29.9
Hackett,"Moda hombre,Ropa,Camisas",2022-04-11,0.0,001000420702474,Camisa de hombre slim fit lisa blanca,0.0,79.0,79.0
Lacoste,"Moda hombre,Ropa,Camisas",2022-04-11,0.0,001083610850212,Camisa de hombre slim de algodón premium blanca,0.0,110.0,110.0
Lacoste,"Moda hombre,Ropa,Polos",2022-04-11,0.0,001083660127974,Polo piqué de hombre Lacoste slim azul de manga corta,0.0,100.0,100.0
Lacoste,"Moda hombre,Ropa,Sudaderas y Chándals,Sudaderas con capucha",2022-04-11,0.0,001083611625159,Sudadera classic fit de hombre con capucha,0.0,100.0,100.0
Lacoste,"Moda hombre,Ropa,Polos",2022-04-11,0.0,001083611459245,Polo de manga corta de hombre regular burdeos,0.0,120.0,120.0
Lacoste,"Moda hombre,Ropa,Sudaderas y Chándals,Sudaderas con cremallera",2022-04-11,0.0,001083611619517,Chaqueta deportiva de hombre negra con cremallera,0.0,100.0,100.0
Lacoste,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001083611723459,Camiseta de manga corta en algodón pima de hombre,0.0,60.0,60.0
Lacoste,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001083611723483,Camiseta de manga corta en algodón pima de hombre,0.0,60.0,60.0
Lacoste,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001083611723566,Camiseta de manga corta en algodón pima de hombre,0.0,60.0,60.0
Lacoste,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001083611723673,Camiseta de manga corta en algodón pima de hombre,0.0,60.0,60.0
Calvin Klein Jeans,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001088240002035,Camiseta de hombre de manga corta y cuello redondo,0.0,29.9,29.9
Hackett,"Moda hombre,Ropa,Camisas",2022-04-11,0.0,001000424707149,Camisa de hombre slim fit con microestampado azul,0.0,79.0,79.0
Hackett,"Moda hombre,Ropa,Polos",2022-04-11,0.0,001052255109267,Polo piqué de hombre slim de manga corta,0.0,85.0,85.0
Hackett,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,5059098983486,Camiseta de hombre básica de algodón en manga corta,0.0,40.0,40.0
Hackett,"Moda hombre,Ropa,Polos",2022-04-11,0.0,001004981124474,Polo de manga corta de hombre classic fit azul marino,0.0,69.0,69.0
Hackett,"Moda hombre,Ropa,Abrigos,Parkas",2022-04-11,0.0,001052256200412,Parka de hombre resistente al agua en color azul marino,0.0,395.0,395.0
Hackett,"Moda hombre,Ropa",2022-04-11,0.0,5059098996530,Gabardina de hombre con cierre abotonado en color kaki,0.0,395.0,395.0
Hackett,"Moda hombre,Ropa",2022-04-11,0.0,5059747057292,Americana de hombre classic lisa en color verde oscuro,0.0,445.0,445.0
Hackett,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001004981613310,Camiseta de manga corta de hombre combinada azul marino,0.0,40.0,40.0
Hackett,"Moda hombre,Ropa,Polos",2022-04-11,0.0,001052255109309,Polo de hombre Aston Martin Racing en color azul marino de manga corta,0.0,130.0,130.0
Hackett,"Moda hombre,Ropa",2022-04-11,0.0,5059747057995,Americana de hombre classic de pata de gallo bicolor,0.0,395.0,395.0
Hackett,"Moda hombre,Ropa,Sudaderas y Chándals,Sudaderas sin capucha",2022-04-11,0.0,001004912804228,Sudadera de hombre azul logo bandera,0.0,95.0,95.0
Lacoste,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001083611723681,Camiseta de manga corta en algodón pima de hombre,0.0,60.0,60.0
Lacoste,"Moda hombre,Ropa,Polos",2022-04-11,0.0,001083611469434,Polo de manga corta Sport de hombre regular,0.0,110.0,110.0
Mirto,"Moda hombre,Ropa,Pantalones,Chinos",2022-04-11,0.0,001004280116304,Chino de hombre Mirto regular azul,0.0,99.0,99.0
Polo Ralph Lauren,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001024955031265,Camiseta de hombre algodón degradado,0.0,89.0,89.0
Hackett,"Moda hombre,Ropa",2022-04-11,0.0,5059747039137,Camisa de hombre classic con estampado de rayas amplias en azul marino,0.0,110.0,110.0
Hackett,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001004981613302,Camiseta de manga corta de hombre combinada azul,0.0,40.0,40.0
Hackett,"Moda hombre,Ropa,Polos",2022-04-11,0.0,001004981124466,Polo de manga corta de hombre classic fit azul,0.0,69.0,69.0
Hackett,"Moda hombre,Ropa,Sudaderas y Chándals,Sudaderas sin capucha",2022-04-11,0.0,001004912804210,Sudadera de hombre azul marino,0.0,95.0,95.0
Hackett,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001052255002546,Camiseta de hombre con logo frontal de manga corta,0.0,40.0,40.0
Hackett,"Moda hombre,Ropa,Pantalones,Pantalones joggers",2022-04-11,0.0,001052204131164,Pantalón jogger de hombre classic en color gris,0.0,140.0,140.0
Hackett,"Moda hombre,Ropa,Abrigos,Chaquetas",2022-04-11,0.0,001052208001587,Chaqueta de hombre resistente al agua en color marrón,0.0,325.0,325.0
Hackett,"Moda hombre,Ropa",2022-04-11,0.0,5059098963617,Camisa de pana de hombre slim de rayas en color azul claro,0.0,130.0,130.0
